,service_request_id,grievance,translated
0,101004372086,Overgrown weeds,Malezas cubiertas de maleza
1,101004337018,Broken sprinkler head,Cabeza rociadora rota
2,101004359338,"Broken glass bottles, unsafe area as a result","Botellas de vidrio rotas, área insegura como resultado"
3,101004362703,Big rats coming out of this yard all the time.,Grandes ratas salen de este patio todo el tiempo.
4,101004371499,Trash on sidewalk,Basura en la acera
5,101004362660,Rat infestation rear if property,Infestación de ratas trasero si la propiedad
6,101004371972,Dead animal,Animal muerto
7,101004372052,Exposed trash debris,Desechos de basura expuestos
8,101004371214,Woman throwing litter on ground,Mujer arrojando basura en el suelo
9,101004372033,Multiple cars double parked for an hour,Múltiples autos se estacionaron durante una hora
10,101004372017,Street closed off.,Calle cerrada.
11,101004372011,Shopping cart on sidewalk,Carrito de compras en la acera
12,101004371432,Bush over growing sidewalk,Bush sobre la acera en crecimiento
13,101004371965,Trash barrels on the sidewalk still,Barriles de basura en la acera todavía
14,101004371991,Leaking fire hydrant,Hidranta de fuego con fugas
15,101004371287,Yard waste not picked up.,Los desechos de jardín no recogidos.
16,101004371726,Car blocking driveway,Vía de bloqueo de automóviles
17,101004364694,Sign fell or hit its all here at moment,El letrero cayó o golpeó todo aquí en el momento
18,101004365894,Grass unmoved at playground for couple weeks,Hierba sin moverse en el patio de recreo durante un par de semanas
19,101004363670,Someone removed the street speed meter.,Alguien quitó el medidor de velocidad de la calle.
20,101004370611,Please remove pieces of furniture on sidewalk,Retire los muebles en la acera
21,101004371945,barrels on sidewalk,barriles en la acera
22,101004371930,No resident sticker,No hay pegatinas para residente
23,101004371929,Nonstop Logan airplane noise,Ruido de avión Logan sin parar
24,101004370294,Flag needs to be replaced.,La bandera necesita ser reemplazada.
25,101004371119,Recycling bin not emptied on trash day,Bin de reciclaje no vaciado el día de la basura
26,101004371990,Trash everywhere,Basura en todas partes
27,101004364102,Someone ran over. Needs to be reset,Alguien corrió corriendo.Necesita ser reiniciado
28,101004371663,Trash out early.,Trasa temprano.
29,101004370381,Pothole in bike lane,Bache en el carril bici
30,101004371747,Oil spill,Derrame de petróleo
31,101004371854,Water shutoff sinking,Hundimiento del cierre de agua
32,101004364784,Please remove cones,Elimina los conos
33,101004365552,Illegal parking,Estacionamiento ilegal
34,101004360558,Flatbed truck,Camión de plataforma
35,101004365703,Blocking emergency access,Bloqueo de acceso de emergencia
36,101004371486,Multiple needles,Múltiples agujas
37,101004371693,Please do something about this crushing hazard,Por favor haz algo sobre este peligro aplastante
38,101004371538,Shattered bottles,Botellas destrozadas
39,101004371604,Graffiti at Healey,Graffiti en Healey
40,101004329864,"Graffiti covered car, smashed windows","Auto cubierto de graffiti, ventanas rotas"
41,101004328533,Abandoned Suburu WRX - Grey,Subaru WRX abandonado - gris
42,101004371582,Dead ground hog,Hog de tierra muerta
43,101004371566,Bed  frame on sidewalk,Marco de la cama en la acera
44,101004370771,Trash all over yard,Basura en todo el patio
45,101004371512,Pothole,Bache
46,101004371496,National grid cutout sinking,National Grid recorte hundido
47,101004209302,Two abandoned trailers,Dos remolques abandonados
48,101004371186,Dead tree,Árbol muerto
49,101004371291,NY car in RPP,Coche de Nueva York en RPP
50,101003955965,Street light out,Luz de la calle
51,101004371202,Glass broken,Vidrio roto
52,101004371173,Dead squirrel in road,Ardilla muerta en el camino
53,101004371197,Spray paint on house,Pintura en aerosol en la casa
54,101004371171,Litter,Lecho
55,101004371168,Glass purposely smashed on sidewalk,Vidry A propósito en la acera
56,101004359974,Swings need geasing. They're all very loud,Los columpios necesitan geess.Todos son muy ruidosos
57,101004365314,slide and other parts of playground broken,Diapositiva y otras partes del patio roto
58,101004371091,Wheel chair abandoned.,Silla de rueda abandonada.
59,101004370930,Sign is knocked over,Se derriba el signo
60,101004369275,"2 large, wide potholes in public alley",2 baches grandes y amplios en callejón público
61,101004370660,Dogs are hot and thirsty,Los perros son calientes y sedientos
62,101004370413,My recycle has not been picked up.,Mi reciclaje no ha sido recogido.
63,101004370816,Bicycle locked to a fire hydrant,Bicicleta encerrada en una hidrantes de incendios
64,101004370583,Overgrown vacant lot,Lote vacante cubierto
65,101004358606,Bed and night table in park,Mesa de cama y noche en el parque
66,101004370701,Stop sign damage,Daño de señalización de la señal
67,101004368140,Several used condoms in PARK,Varios condones usados en el parque
68,101004211194,Flat tires,Llantas ponchadas
69,101004366736,Broken glass by bleachers,Vidrio roto por gradas
70,101004370471,TV on sidewalk,TV en la acera
71,101004368713,Please sweep,Por favor barrer
72,101004369893,Missed trash pickup.,Pasada de basura perdida.
73,101004370442,Burned-out mantles,Mantos quemados
74,101004370199,Empty bottles,Botellas vacías
75,101004370449,tree pit and tree need pruning,El pozo de los árboles y el árbol necesitan podar
