Index,English Word, Spanish Word
0, Logan, Logan
1, Constituent, residente
2, no, no
3, tv, televisión
4, resident, residente
5, but, pero
6, and, y
7, BPRD, Boston Parks and Recreation
8, Boston, Boston
9, dog, perro
10, dog, perra
11, bus, autobús
12, SUV, SUV
13, airplane, avión
14, LED, bombilla
15, @citycouncil, @citycouncil
16, graffiti,
17, Cambridge, Cambridge
18, RPP, RPP
19, neighborhood,
20, Brookline, Brookline
21, Somerville, Somerville,
22, Charlestown, Charlestown
23, Jamaica Plain, Jamaica Plain
24, BWSC, BWSC
25, Roxbury, Roxbury
26, Back Bay, Back Bay
27, Beacon Hill, Beacon Hill
28, Dorchester, Dorchester
29, Mattapan, Mattapan
30, Mission Hill, Mission Hill
31, Chinatown, Chinatown
32, South End, South End
33, North End, North End
34, Bay Village, Bay Village
35, Fenway, Fenway
36, Hyde Park, Hyde Park
37, West Roxbury, West Roxbury
38, BPS, BPS
39, BTD, BTD
40, Public Works, Public Works
41, Seaport, Seaport
42, YouTube, YouTube
43, Instagram, Instagram
44, Tremont, Tremont
45, apartment, apartamento
46, Toyota, Toyota
47, Nissan, Nissan
48, Honda, Honda
49, Jeep, Jeep
50, Allston, Allston
51, Brighton, Brighton
52, Ford, Ford
53, Dartmouth, Dartmouth
54, L.E.D., bombilla
55, HP, Hyde Park
56, Melbourne, Melbourne
57, Hanover, Hanover
58, Copley, Copley
59, Charles, Charles
60, ISD, ISD
61, Mass, Massachusetts
62, pothole,
63, potholes, 
64, Vernon, Vernon
65, BCYF, BCYF
66, BPL, BPL
