,service_request_id,grievance,translated
0,101004372086,Overgrown weeds,[start] [UNK] a la malas malas malas malas malas malas [end]
1,101004337018,Broken sprinkler head,[start] se rompió la cabeza [end]
2,101004359338,"Broken glass bottles, unsafe area as a result",[start] el los que [UNK] de agua pasa en la que se hizo caso [end]
3,101004362703,Big rats coming out of this yard all the time.,[start] las cosas más grande de este día [end]
4,101004371499,Trash on sidewalk,[start] el lugar de la lo [UNK] [end]
5,101004362660,Rat infestation rear if property,[start] el [UNK] de la [UNK] si la [UNK] [end]
6,101004371972,Dead animal,[start] la reina [UNK] [end]
7,101004372052,Exposed trash debris,[start] [UNK] la segunda cabeza [end]
8,101004371214,Woman throwing litter on ground,[start] la mujer se está [UNK] [end]
9,101004372033,Multiple cars double parked for an hour,[start] los hizo que los larga los animales de la hora de [UNK] [UNK] [end]
10,101004372017,Street closed off.,[start] la calle se [UNK] [end]
11,101004372011,Shopping cart on sidewalk,[start] de la [UNK] en el auto de [UNK] [end]
12,101004371432,Bush over growing sidewalk,[start] [UNK] en la [UNK] [end]
13,101004371965,Trash barrels on the sidewalk still,[start] el lugar de la no [UNK] en la [UNK] [end]
14,101004371991,Leaking fire hydrant,[start] [UNK] fuego por la tierra [end]
15,101004371287,Yard waste not picked up.,[start] los [UNK] no se [UNK] [end]
16,101004371726,Car blocking driveway,[start] el tren [UNK] de [UNK] [end]
17,101004364694,Sign fell or hit its all here at moment,[start] tom se [UNK] juntos todo está en esta aquí [end]
18,101004365894,Grass unmoved at playground for couple weeks,[start] ellos se [UNK] a la [UNK] por un par de días en la [UNK] [end]
19,101004363670,Someone removed the street speed meter.,[start] alguien se dio por la calle de [UNK] la [UNK] [end]
20,101004370611,Please remove pieces of furniture on sidewalk,[start] por favor [UNK] en los sentimientos de de la la la de los cumpleaños [end]
21,101004371945,barrels on sidewalk,[start] las [UNK] en la [UNK] [end]
22,101004371930,No resident sticker,[start] nadie se [UNK] el [UNK] [end]
23,101004371929,Nonstop Logan airplane noise,[start] el vuelo [UNK] el ruido [end]
24,101004370294,Flag needs to be replaced.,[start] la bandera necesita a que [UNK] [end]
25,101004371119,Recycling bin not emptied on trash day,[start] la [UNK] no se [UNK] en la segunda calle [end]
26,101004371990,Trash everywhere,[start] la manera de nuestra espalda [end]
27,101004364102,Someone ran over. Needs to be reset,[start] alguien se necesita que es [UNK] [end]
28,101004371663,Trash out early.,[start] una segunda temprano [end]
29,101004370381,Pothole in bike lane,[start] las [UNK] en bicicleta [end]
30,101004371747,Oil spill,[start] el tonto se [UNK] [end]
