,Unnamed: 0,service_request_id,grievance,translated
0,0,101004372086,Overgrown weeds,[start] [UNK] muy de la ciudad [end]
1,6,101004337018,Broken sprinkler head,[start] [UNK] a la cabeza [end]
2,7,101004359338,"Broken glass bottles, unsafe area as a result",[start] te roto con el en el periódico se [UNK] a la en cuanto la área [end]
3,14,101004362703,Big rats coming out of this yard all the time.,[start] las personas murieron en todo el tiempo en esta [UNK] [end]
4,26,101004371499,Trash on sidewalk,[start] basura en la acera [end]
5,33,101004362660,Rat infestation rear if property,[start] el la [end]
6,42,101004371972,Dead animal,[start] muerto el animal [end]
7,43,101004372052,Exposed trash debris,[start] ellos [UNK] basura [end]
8,44,101004371214,Woman throwing litter on ground,[start] tom [UNK] la [UNK] de televisión [end]
9,64,101004372033,Multiple cars double parked for an hour,[start] [UNK] varios años de [UNK] [UNK] a una hora [end]
10,77,101004372017,Street closed off.,[start] por la luz no [UNK] [end]
11,78,101004372011,Shopping cart on sidewalk,[start] comprar un auto de vas a la [end]
12,80,101004371432,Bush over growing sidewalk,[start] [UNK] a la acera [end]
13,93,101004371965,Trash barrels on the sidewalk still,[start] la basura sigue en la parte del [UNK] [end]
14,99,101004371991,Leaking fire hydrant,[start] [UNK] [end]
15,108,101004371287,Yard waste not picked up.,[start] [UNK] no de ir al [UNK] [end]
16,116,101004371726,Car blocking driveway,[start] auto de la [end]
17,130,101004364694,Sign fell or hit its all here at moment,[start] [UNK] o se [UNK] todo el tiempo en el momento [end]
18,147,101004365894,Grass unmoved at playground for couple weeks,[start] en el día de la que [UNK] en los [UNK] [end]
19,148,101004363670,Someone removed the street speed meter.,[start] alguien se [UNK] la luz de los [UNK] [end]
20,149,101004370611,Please remove pieces of furniture on sidewalk,[start] por favor ten tom le al [UNK] [end]
21,150,101004371945,barrels on sidewalk,[start] [UNK] en la acera [end]
22,160,101004371930,No resident sticker,[start] nadie es [UNK] [end]
23,159,101004371929,Nonstop Logan airplane noise,[start] [UNK] el techo en el avión de avión [end]
24,168,101004370294,Flag needs to be replaced.,[start] se puede de ser [UNK] [end]
25,173,101004371119,Recycling bin not emptied on trash day,[start] de los [UNK] no vale la basura un día de basura [end]
26,285,101004371990,Trash everywhere,[start] basura por todos hacia frente a conducir [end]
27,379,101004364102,Someone ran over. Needs to be reset,[start] alguien se necesita pasar el que se [UNK] [end]
28,385,101004371663,Trash out early.,[start] basura temprano por aquí [end]
29,387,101004370381,Pothole in bike lane,[start] en bicicleta [UNK] en un en los por los de bicicleta [end]
30,432,101004371747,Oil spill,[start] el la la yo de los [UNK] [end]
31,459,101004371854,Water shutoff sinking,[start] el agua se [UNK] a por la se [UNK] [end]
32,551,101004364784,Please remove cones,[start] por favor ten las [UNK] [end]
33,599,101004365552,Illegal parking,[start] está en el auto de él [end]
34,628,101004360558,Flatbed truck,[start] [UNK] un techo [end]
35,604,101004365703,Blocking emergency access,[start] por de de de de de de de de de yo no no de seguridad [end]
36,643,101004371486,Multiple needles,[start] de [UNK] en una cuenta [end]
37,649,101004371693,Please do something about this crushing hazard,[start] por favor ten algo de respecto a ese cuarto [end]
38,662,101004371538,Shattered bottles,[start] [UNK] lo que lleva [end]
39,685,101004371604,Graffiti at Healey,[start] por los [UNK] en el auto [end]
40,714,101004329864,"Graffiti covered car, smashed windows",[start] el sitio [UNK] cinco [UNK] [end]
41,718,101004328533,Abandoned Suburu WRX - Grey,[start] [UNK] a la [UNK] de la [UNK] [end]
42,729,101004371582,Dead ground hog,[start] plato los [UNK] un lago [end]
43,752,101004371566,Bed  frame on sidewalk,[start] en la acera [UNK] [end]
44,762,101004370771,Trash all over yard,[start] la basura sobre todo el mundo se de sobre el fin [end]
45,788,101004371512,Pothole,[start] [UNK] [end]
46,796,101004371496,National grid cutout sinking,[start] los [UNK] [UNK] la [UNK] [end]
47,822,101004209302,Two abandoned trailers,[start] dos [UNK] de la [UNK] [end]
48,894,101004371186,Dead tree,[start] está en el árbol [end]
49,1008,101004371291,NY car in RPP,[start] los [UNK] en el auto [end]
50,1084,101003955965,Street light out,[start] luz no [UNK] [end]
51,1089,101004371202,Glass broken,[start] roto de café [end]
52,1099,101004371173,Dead squirrel in road,[start] en el camino del camino [end]
53,1102,101004371197,Spray paint on house,[start] [UNK] la casa a la la fiesta [end]
54,1112,101004371171,Litter,[start] basura [end]
55,1101,101004371168,Glass purposely smashed on sidewalk,[start] el [UNK] de la información [UNK] [end]
56,1121,101004359974,Swings need geasing. They're all very loud,[start] [UNK] como como de la la la [UNK] de la la la [UNK] de que está muy alto [end]
57,1123,101004365314,slide and other parts of playground broken,[start] [UNK] y otro la [UNK] de los años abierta [end]
58,1138,101004371091,Wheel chair abandoned.,[start] la [UNK] salió roto [end]
59,1189,101004370930,Sign is knocked over,[start] no te han roto [end]
60,1288,101004369275,"2 large, wide potholes in public alley",[start] grande una gran [UNK] en el la que [UNK] la en la en la que [UNK] la en la [UNK]
61,1308,101004370660,Dogs are hot and thirsty,[start] los perros son [UNK] y un azúcar [end]
62,1304,101004370413,My recycle has not been picked up.,[start] yo no he estado en la [UNK] [end]
63,1298,101004370816,Bicycle locked to a fire hydrant,[start] bicicleta le se de los [UNK] a un la [UNK] [end]
64,1313,101004370583,Overgrown vacant lot,[start] [UNK] mucho [end]
65,1325,101004358606,Bed and night table in park,[start] cama y la noche en parque [end]
66,1398,101004370701,Stop sign damage,[start] no [UNK] a la cuenta [end]
67,1414,101004368140,Several used condoms in PARK,[start] varios [UNK] en el parque [end]
68,1417,101004211194,Flat tires,[start] [UNK] a no [end]
69,1460,101004366736,Broken glass by bleachers,[start] roto con el agua [end]
70,1471,101004370471,TV on sidewalk,[start] en la de seguridad [end]
71,1472,101004368713,Please sweep,[start] por favor [end]
72,1477,101004369893,Missed trash pickup.,[start] no te [UNK] el [UNK] [end]
73,1595,101004370442,Burned-out mantles,[start] [UNK] [end]
74,1614,101004370199,Empty bottles,[start] por muerto [end]
75,1630,101004370449,tree pit and tree need pruning,[start] el árbol y árbol de [UNK] [UNK] [end]
76,1657,101004366396,Please repaint crosswalk,[start] por favor [UNK] de la [UNK] [end]
77,1705,101004369979,Graffiti at Little Scobie,[start] en el auto [UNK] [UNK] [end]
78,1792,101004365073,"Abandoned car, has been there for weeks",[start] ha coche de allí por semanas que ha estado allí por semanas [end]
79,1842,101004366053,Sign looks a little bent,[start] no te te tom han tomado una [UNK] [end]
80,1861,101003777682,Please trim brush along path,[start] por favor [UNK] el camino [end]
81,1884,101004361898,Sign is askew,[start] no es [UNK] [end]
82,1935,101004370036,Abandoned bike,[start] [UNK] a bicicleta [end]
83,2126,101004369000,Small fridge on sidewalk,[start] pequeña la Él está en la información en Él [end]
84,2181,101004369155,Homeless left trash,[start] ha [UNK] de la basura [end]
85,2210,101004360441,Squeaky swings at tot lot,[start] los [UNK] [UNK] mucho [end]
86,2274,101004369660,Car parked illegal in tow zone.,[start] auto está [UNK] en una que [UNK] en la que [UNK] en una que [UNK] [end]
87,2275,101004369519,Non resident in resident only spot,[start] de la [UNK] en el mismo sitio de la fiesta [end]
88,2288,101004369733,A huge pothole on Birmingham parkway,[start] un [UNK] en [UNK] [UNK] [end]
89,2346,101004365053,Trash all over sidewalk,[start] la basura sobre toda la información [end]
90,2382,101004369590,Many cars double parked,[start] muchos bomberos de san no de conducir [end]
91,2370,101004369557,Excess trash outside bin,[start] [UNK] basura fuera de la basura [end]
92,2416,101004369447,Trash overfilled.,[start] basura y [UNK] [end]
93,2431,101004369393,Dead bunny,[start] en el que [UNK] los de la la la [UNK] [end]
94,2554,101004365238,Dead plants from city function.,[start] las hojas de la ciudad del que se [UNK] los mi que [UNK] a la ciudad [end]
95,2799,101004368240,Sidewalk not passable,[start] por favor no [UNK] [end]
96,2865,101004368698,USPS box needs power wash,[start] [UNK] parece la más imposible [end]
97,2912,101004368660,Sinkhole growing more everyday,[start] [UNK] es más [UNK] en el auto [end]
98,2951,101004363866,Cut weeds growing out of city sidewalk,[start] [UNK] la ciudad de tu información [UNK] [end]
99,2965,101004363883,Lots of trash at bus stop,[start] un montón de basura en la pared [end]
